code,label,chapter,billable
A24.2,Melioidosis subaguda y crónica,Ciertas enfermedades infecciosas y parasitarias,true
A24.3,Otras melioidosis,Ciertas enfermedades infecciosas y parasitarias,true
A24.4,"Melioidosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A25,Fiebres por mordedura de rata,Ciertas enfermedades infecciosas y parasitarias,false
A25.0,Espirilosis,Ciertas enfermedades infecciosas y parasitarias,true
A25.1,Estreptobacilosis,Ciertas enfermedades infecciosas y parasitarias,true
A25.9,"Fiebre por mordedura de rata, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A26,Erisipeloide,Ciertas enfermedades infecciosas y parasitarias,false
A26.0,Erisipeloide cutáneo,Ciertas enfermedades infecciosas y parasitarias,true
A26.7,Septicemia por Erysipelothrix,Ciertas enfermedades infecciosas y parasitarias,true
A26.8,Otras formas de erisipeloide,Ciertas enfermedades infecciosas y parasitarias,true
A26.9,"Erisipeloide, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A27,Leptospirosis,Ciertas enfermedades infecciosas y parasitarias,false
A27.0,Leptospirosis icterohemorrágica,Ciertas enfermedades infecciosas y parasitarias,true
A27.8,Otras formas de leptospirosis,Ciertas enfermedades infecciosas y parasitarias,true
A27.9,"Leptospirosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A28,"Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte",Ciertas enfermedades infecciosas y parasitarias,false
A28.0,Pasteurelosis,Ciertas enfermedades infecciosas y parasitarias,true
A28.1,Enfermedad por rasguño de gato,Ciertas enfermedades infecciosas y parasitarias,true
A28.2,Yersiniosis extraintestinal,Ciertas enfermedades infecciosas y parasitarias,true
A28.8,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte",Ciertas enfermedades infecciosas y parasitarias,true
A28.9,"Enfermedad zoonótica bacteriana, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A30,Lepra [enfermedad de Hansen],Ciertas enfermedades infecciosas y parasitarias,false
A30.0,Lepra indeterminada,Ciertas enfermedades infecciosas y parasitarias,true
A30.1,Lepra tuberculoide,Ciertas enfermedades infecciosas y parasitarias,true
A30.2,Lepra tuberculoide limítrofe,Ciertas enfermedades infecciosas y parasitarias,true
A30.3,Lepra limítrofe,Ciertas enfermedades infecciosas y parasitarias,true
A30.4,Lepra lepromatosa limítrofe,Ciertas enfermedades infecciosas y parasitarias,true
A30.5,Lepra lepromatosa,Ciertas enfermedades infecciosas y parasitarias,true
A30.8,Otras formas de lepra,Ciertas enfermedades infecciosas y parasitarias,true
A30.9,"Lepra, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A31,Infecciones debidas a otras micobacterias,Ciertas enfermedades infecciosas y parasitarias,false
A31.0,Infecciones por micobacterias pulmonares,Ciertas enfermedades infecciosas y parasitarias,true
A31.1,Infección cutánea por micobacterias,Ciertas enfermedades infecciosas y parasitarias,true
A31.8,Otras infecciones por micobacterias,Ciertas enfermedades infecciosas y parasitarias,true
A31.9,"Infección por micobacteria, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A32,Listeriosis,Ciertas enfermedades infecciosas y parasitarias,false
A32.0,Listeriosis cutánea,Ciertas enfermedades infecciosas y parasitarias,true
A32.1,Meningitis y meningoencefalitis listeriana,Ciertas enfermedades infecciosas y parasitarias,true
A32.7,Septicemia listeriana,Ciertas enfermedades infecciosas y parasitarias,true
A32.8,Otras formas de listeriosis,Ciertas enfermedades infecciosas y parasitarias,true
A32.9,"Listeriosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A33,Tétanos neonatal,Ciertas enfermedades infecciosas y parasitarias,true
A34,Tétanos obstétrico,Ciertas enfermedades infecciosas y parasitarias,true
A35,Otros tétanos,Ciertas enfermedades infecciosas y parasitarias,true
A36,Difteria,Ciertas enfermedades infecciosas y parasitarias,false
A36.0,Difteria faríngea,Ciertas enfermedades infecciosas y parasitarias,true
A36.1,Difteria nasofaríngea,Ciertas enfermedades infecciosas y parasitarias,true
A36.2,Difteria laríngea,Ciertas enfermedades infecciosas y parasitarias,true
A36.3,Difteria cutánea,Ciertas enfermedades infecciosas y parasitarias,true
A36.8,Otras difterias,Ciertas enfermedades infecciosas y parasitarias,true
A36.9,"Difteria, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A37,Tos ferina [tos convulsiva],Ciertas enfermedades infecciosas y parasitarias,false
A37.0,Tos ferina debida a Bordetella pertussis,Ciertas enfermedades infecciosas y parasitarias,true
A37.1,Tos ferina debida a Bordetella parapertussis,Ciertas enfermedades infecciosas y parasitarias,true
A37.8,Tos ferina debida a otras especies de Bordetella,Ciertas enfermedades infecciosas y parasitarias,true
A37.9,"Tos ferina, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A38,Escarlatina,Ciertas enfermedades infecciosas y parasitarias,true
A39,Enfermedad meningocócica,Ciertas enfermedades infecciosas y parasitarias,false
A39.0,Meningitis meningocócica (G01),Ciertas enfermedades infecciosas y parasitarias,true
